1.22,0.222222222,35,0.0173454,0.847227371,0.973056278,0.994846657,0.830074999,0.596322539,0.584962501,1.403677461,1,0,0,0,0,0.0625,0.1328125,0.15625,0.2265625,0.328125,0.390625,0.4453125,0.53125,0.6796875,0.765625,0.890625,0,0,0.125,0.1875,0.1875,0.3125,0.4375,0.4375,0.5625,0.625,0.875,0.9375,0.9375,1
0.88,0.368421053,91,0.03092006,0.867054341,0.93339925,0.987965058,0.868755467,1.111196211,1.261780978,1.584962501,1,0,0,0,0.034013605,0.120181406,0.176870748,0.297052154,0.382086168,0.496598639,0.628117914,0.731292517,0.798185941,0.862811791,0.9138322,0.954648526,0,0.071428571,0.19047619,0.261904762,0.452380952,0.547619048,0.761904762,0.904761905,0.976190476,0.976190476,0.976190476,0.976190476,0.976190476,1
0.95,0.150943396,150,0.025641026,0.877220049,0.898488349,0.988687783,0.772589504,0.775098541,1,1.403677461,0.79248125,0.5,1,0,0.05353956,0.109458656,0.189173111,0.256989887,0.329565735,0.418798334,0.493753718,0.597263534,0.729327781,0.87804878,0.93158834,0.963712076,0,0.073170732,0.146341463,0.268292683,0.341463415,0.414634146,0.512195122,0.634146341,0.804878049,0.951219512,0.975609756,0.975609756,0.975609756,1
0.72,0.29969419,860,0.184766214,0.933516961,0.465925714,0.931152589,0.927068478,0.97376629,0.989911059,1.160964047,1.084962501,1.403677461,2,0.013058985,0.073854595,0.136625514,0.207187929,0.277201646,0.356323731,0.439506173,0.531467764,0.659862826,0.781673525,0.894266118,0.945404664,0.974705075,0.022222222,0.125925926,0.222222222,0.325925926,0.414814815,0.496296296,0.57037037,0.733333333,0.948148148,0.992592593,0.992592593,0.992592593,0.992592593,1
0.37,0.119402985,736,0.177224736,0.913877542,0.507121749,0.934734791,0.855989697,0.957441693,1.197964338,1.29248125,1.123963757,1.5,2,0.008607796,0.054271848,0.127590733,0.209883703,0.281310094,0.359512835,0.455907939,0.562192851,0.685876499,0.810597967,0.903085986,0.962302738,0.988248222,0.016574586,0.099447514,0.209944751,0.287292818,0.414364641,0.524861878,0.64640884,0.845303867,0.944751381,0.994475138,0.994475138,0.994475138,0.994475138,1
1.17,0.2,40,0.027903469,0.840061808,0.968608739,0.994312469,0.788495895,0.720286296,0.729715809,1.403677461,1,0,0,0,0,0.072022161,0.127423823,0.227146814,0.260387812,0.371191136,0.415512465,0.487534626,0.592797784,0.747922438,0.903047091,0.925207756,0,0,0.105263158,0.210526316,0.315789474,0.315789474,0.421052632,0.526315789,0.526315789,0.684210526,0.947368421,0.947368421,0.947368421,0
1.19,0.2,39,0.029411765,0.854484778,0.968594237,0.993055556,0.788495895,0.831482506,0.729715809,1.29248125,1,0,0,0,0,0.066481994,0.127423823,0.221606648,0.288088643,0.376731302,0.43767313,0.498614958,0.631578947,0.781163435,0.891966759,0.908587258,0,0,0.105263158,0.157894737,0.315789474,0.368421053,0.473684211,0.578947368,0.631578947,0.842105263,0.947368421,0.947368421,0.947368421,0
Inf,0.122222222,479,0.197586727,0.836947523,0.644846145,0.938568376,0.971543554,1.12181155,1.376036243,1.278997727,1.123963757,1.584962501,2,0.007904636,0.073903589,0.180378089,0.329613816,0.475516262,0.615736258,0.724337709,0.815479119,0.889223981,0.939223187,0.969825876,0.985317693,0.993127093,0.015936255,0.12749004,0.270916335,0.521912351,0.709163347,0.868525896,0.976095618,0.996015936,0.996015936,0.996015936,0.996015936,0.996015936,0.996015936,0
0.85,0.104477612,500,0.142533937,0.939979329,0.659583023,0.967427099,0.799087306,0.899543653,0.971708236,0.821928095,0.850219859,1.5,2,0,0.058396089,0.133174792,0.197384067,0.257101334,0.317347074,0.382877527,0.458448936,0.543268596,0.64130004,0.797463337,0.916897873,0.966309948,0,0.126436782,0.24137931,0.310344828,0.356321839,0.402298851,0.482758621,0.563218391,0.643678161,0.770114943,0.988505747,0.988505747,0.988505747,0
0.53,0.289473684,624,0.174962293,0.925244074,0.550378325,0.940705128,1.008363473,1.074613004,1.169400957,1.142701109,1.043731421,1.5,2,0,0.061679308,0.128236827,0.202078252,0.29108891,0.392662635,0.504995155,0.610845668,0.702930268,0.786394467,0.877075746,0.95131812,0.984062281,0,0.098265896,0.219653179,0.358381503,0.445086705,0.560693642,0.797687861,0.953757225,0.994219653,0.994219653,0.994219653,0.994219653,0.994219653,0
